Store ID,Employee Number,Sales,Marketing Spend,Electronics Sales,Home Sales,Clothes Sales,Area,Date
1.0,54.0,86586.23,16022.68,23312.79,10991.36,28089.66,Asia,2018-01-31
1.0,57.0,131181.61,6562.93,38738.19,17000.27,52073.81,Asia,2018-02-28
1.0,50.0,185833.69,1106.61,53601.54,26926.41,58401.37,Asia,2018-03-31
1.0,56.0,150538.66,16586.79,42062.01,25817.93,50028.65,Asia,2018-04-30
1.0,50.0,183421.04,2708.69,42276.04,26700.62,63996.07,Asia,2018-05-31
1.0,56.0,292656.36,10459.98,69192.41,45898.82,95964.42,Asia,2018-06-30
1.0,52.0,214964.98,26320.18,48065.41,24049.25,94098.8,Asia,2018-07-31
1.0,56.0,189526.91,26479.09,47851.76,27550.8,74569.68,Asia,2018-08-31
1.0,55.0,222308.26,4848.86,64556.77,38468.88,71728.8,Asia,2018-09-30
1.0,58.0,213762.78,13452.72,43525.38,21181.46,78333.69,Asia,2018-10-31
1.0,60.0,275043.91,16276.21,71283.31,34054.61,96219.95,Asia,2018-11-30
1.0,50.0,427140.33,15079.11,84846.92,75713.44,131085.4,Asia,2018-12-31
1.0,52.0,129972.86,27445.93,36089.77,25751.65,47449.49,Asia,2019-01-31
1.0,50.0,153328.85,5727.33,38623.99,18634.73,55300.19,Asia,2019-02-28
1.0,51.0,233607.31,29701.62,56331.02,28059.85,80860.23,Asia,2019-03-31
1.0,51.0,155014.43,12593.43,44457.24,31427.36,56063.4,Asia,2019-04-30
1.0,56.0,221799.55,26700.16,46519.74,33815.56,71003.54,Asia,2019-05-31
1.0,50.0,324111.57,25812.14,61107.56,59335.38,114788.54,Asia,2019-06-30
1.0,53.0,211142.68,2560.42,47174.29,39253.73,69108.02,Asia,2019-07-31
1.0,59.0,194504.39,13005.62,43143.42,20725.2,75671.76,Asia,2019-08-31
1.0,55.0,251584.32,7507.29,74507.98,43755.25,83415.03,Asia,2019-09-30
1.0,52.0,227442.41,7431.93,57029.71,20952.38,75911.2,Asia,2019-10-31
1.0,54.0,322054.96,2935.02,78042.38,38659.0,113576.87,Asia,2019-11-30
1.0,59.0,396164.54,18775.8,101378.09,66398.8,158912.89,Asia,2019-12-31
1.0,51.0,126547.37,24028.48,34653.62,14640.59,51320.61,Asia,2020-01-31
1.0,51.0,159984.62,8218.83,33636.21,25296.16,55318.64,Asia,2020-02-29
1.0,59.0,220040.93,14881.12,62129.05,38018.97,81600.88,Asia,2020-03-31
